created_at,entry_id,field1,field2,field3,field4
2024-04-13T13:06:09+05:30,1,1,,,
2024-04-13T13:08:03+05:30,2,2,,,
2024-04-13T13:10:13+05:30,3,3,,,
2024-04-13T13:11:30+05:30,4,,50,,
2024-04-13T13:11:31+05:30,5,,,40,
2024-04-13T13:12:30+05:30,6,,20,,
2024-04-13T13:12:31+05:30,7,,,10,
2024-04-14T13:06:09+05:30,8,,,,1
2024-04-14T13:08:03+05:30,9,,,,2
2024-04-14T13:10:13+05:30,10,,,,3
2024-04-14T13:10:15+05:30,11,,,,1
2024-04-14T13:10:16+05:30,12,,,,1
2024-04-14T13:10:18+05:30,13,,,,2
2024-04-14T13:10:18+05:30,14,,,,1
