created_at,entry_id,field1,field2,field3,field4
2024-04-13T13:06:09+00:00,1,1,,,
2024-04-13T13:08:03+00:00,2,2,,,
2024-04-13T13:10:13+00:00,3,3,,,
2024-04-13T13:11:30+00:00,4,,50,,
2024-04-13T13:11:31+00:00,5,,,40,
2024-04-13T13:12:30+00:00,6,,20,,
2024-04-13T13:12:31+00:00,7,,,10,
2024-04-14T13:06:09+00:00,8,,,,1
2024-04-14T13:08:03+00:00,9,,,,2
2024-04-14T13:10:13+00:00,10,,,,3
2024-04-14T13:10:15+00:00,11,,,,1
2024-04-14T13:10:16+00:00,12,,,,1
2024-04-14T13:10:18+00:00,13,,,,2
2024-04-14T13:10:21+00:00,14,,,,1
